utc,Label,Speed,HDOP,Satelites,Latitude,Longitude,Altitude,Roll Degrees,Pitch Degrees,Dynamic Magnitude,Jerk,Jerk Std,Acceleration X,Acceleration Y,Acceleration Z,Standard Deviation,Energy,Zero Crossings,session_id,motion_disagreement,motion_mismatch,speed_per_dyn_mag,speed_per_jerk_std
250426_102102.000,1,4.92,0.99,9,58.380329,8.681505,39.599998,-6.814252,6.757791,0.106872,0.549981,1.643715,-0.019145,0.104793,0.008573,0.069296,0.015494,24.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.164544,45.609694,2.97512
250426_102103.000,1,5.08,0.99,9,58.38031,8.681501,39.400002,-6.681483,6.616241,0.08506,0.386378,1.708543,0.081698,0.022828,-0.006282,0.06712,0.016227,18.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.11932,59.028716,2.955993
250426_102113.000,1,4.71,0.99,9,58.38018,8.681556,36.900002,-6.407695,5.809452,0.026147,0.489713,1.039603,0.022272,-0.012353,0.005919,0.031438,0.00715,18.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.005194,173.49863,4.487412
250426_102115.000,1,4.33,0.99,9,58.380161,8.681561,36.400002,-7.010323,5.921323,0.031056,1.235877,0.898233,-0.008281,-0.027963,-0.010675,0.028664,0.006499,14.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.018811,135.077669,4.7675
250426_102125.000,1,4.23,0.99,9,58.380058,8.681613,34.599998,-7.532043,6.006324,0.118712,2.881655,1.135431,0.103338,-0.056473,-0.014988,0.034882,0.007391,14.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.195125,35.334658,3.692932
250426_102126.000,1,4.46,0.99,9,58.380039,8.681615,34.400002,-8.277369,6.140823,0.075664,0.52247,1.031271,0.0216,-0.060552,0.0399,0.036214,0.007758,16.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.106728,58.175797,4.283228
250426_102137.000,1,4.93,0.99,9,58.37991,8.681675,34.599998,-8.445142,6.197474,0.03328,0.29134,1.028075,-0.012482,0.025735,-0.017015,0.038984,0.006866,18.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.017261,143.814099,4.749175
250426_102138.000,1,4.75,0.99,9,58.379902,8.681684,34.400002,-8.06405,6.522329,0.07453,1.314977,1.014432,-0.009002,0.069181,-0.026224,0.040252,0.00645,22.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.10156,62.889112,4.636716
250426_102139.000,1,4.55,0.99,9,58.37989,8.681686,34.200001,-7.66529,7.200237,0.051272,1.261204,1.185715,-0.044559,0.023072,0.010537,0.048137,0.008474,22.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.057044,87.044803,3.805256
250426_102149.000,1,3.97,0.99,9,58.37978,8.681718,29.799999,-7.342651,7.460497,0.036823,0.523772,0.987292,-0.017586,0.029506,-0.013268,0.044278,0.006774,22.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.033946,104.96297,3.980778
250426_102150.000,1,4.09,0.99,9,58.379761,8.681718,29.200001,-6.441904,7.943438,0.155127,2.173418,0.967633,-0.086638,0.122704,0.038753,0.048309,0.008105,22.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.269354,26.19666,4.183574
250426_102151.000,1,4.11,0.99,9,58.379749,8.68171,28.700001,-6.458542,8.25895,0.025688,0.6086,0.963168,0.013678,0.017575,-0.012803,0.047829,0.008107,22.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.010276,154.002018,4.223322
250426_102201.000,1,3.65,0.98,9,58.379631,8.681713,24.4,-5.666878,8.064945,0.044366,0.97772,0.919974,0.037507,0.018386,0.014949,0.044448,0.008084,20.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.052232,80.457085,3.924842
250426_102203.000,1,3.75,0.98,9,58.379608,8.681726,23.5,-5.873236,6.912,0.166504,0.978387,0.569727,0.165349,-0.018445,0.006553,0.044484,0.008475,22.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.295508,22.38755,6.468566
250426_102213.000,1,3.88,0.98,9,58.37952,8.681921,21.5,-6.545298,6.341138,0.066452,0.687222,0.586528,-0.029972,-0.05369,0.025198,0.051406,0.009626,22.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.094104,57.522537,6.50431
250426_102214.000,1,3.85,0.98,9,58.37952,8.681948,22.0,-7.134937,6.40009,0.068373,0.476432,0.560431,0.005155,-0.064644,-0.021668,0.04916,0.010023,22.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.098247,55.496759,6.749282
250426_102215.000,1,3.89,0.98,9,58.379509,8.681971,21.9,-7.761026,6.453234,0.109885,0.513267,0.560084,0.002032,-0.10606,-0.028667,0.047613,0.011005,20.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.18087,35.081458,6.823553
250426_102225.000,1,4.63,0.98,9,58.379459,8.682192,21.9,-7.6731,6.317058,0.041146,0.542365,0.647437,0.038098,0.011379,0.010584,0.051612,0.009566,24.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.035991,109.857152,7.042497
250426_102236.000,1,4.55,0.98,9,58.379341,8.682307,23.5,-7.740262,6.012116,0.070151,0.298119,0.629804,-0.043595,0.038802,-0.038924,0.049887,0.007899,20.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.094802,63.948378,7.111558
250426_102237.000,1,4.37,0.98,9,58.37933,8.682313,23.700001,-8.716208,6.059122,0.042364,0.890116,0.601804,0.016569,-0.038801,0.003829,0.049341,0.008329,22.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.041028,100.77522,7.142809
250426_102238.000,1,4.34,0.98,9,58.379318,8.682322,23.9,-9.438854,5.957316,0.055732,0.205505,0.775432,-0.001119,-0.055595,-0.003743,0.050112,0.008501,18.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.068065,76.49969,5.525618
250426_102247.000,1,4.46,0.98,9,58.3792,8.682362,25.0,-9.823285,6.107871,0.071628,1.075538,0.722924,-0.001005,-0.046354,0.054597,0.048504,0.008274,16.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.098656,61.408977,6.085213
250426_102248.000,1,4.56,0.98,9,58.379189,8.68236,25.200001,-9.822165,6.274974,0.034396,0.262664,0.712377,-0.020037,-0.005383,-0.027434,0.048635,0.008274,16.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.023192,128.828507,6.31249
