time,utc_time,device_id,label,lat,lon,alt,speed,hdop,sats,course,fix,accel_x,accel_y,accel_z,roll,pitch,magnitude,previous_mag,jerk
511,105903.000,A,0,58.38332,8.676253,14.8,3.02,1.47,6,353.7,1,-0.154541,0.7904053,-0.2774658,150.8834,-68.10874,0.8518278,0.8518278,-0.03120885
514,105903.000,A,0,58.38332,8.676253,14.8,2.88,1.47,6,2.33,1,-0.3155518,1.006348,-0.2781982,131.4002,-67.31404,1.090735,1.090735,0.07963571
517,105904.000,A,0,58.38333,8.67624,14.9,2.88,1.24,7,2.33,1,-0.1710205,0.7421875,-0.2020264,133.4756,-70.00554,0.7879752,0.7879752,-0.1009199
520,105905.000,A,0,58.38334,8.676238,14.9,2.87,1.47,6,359.76,1,-0.1087646,0.8602295,-0.3078613,160.5421,-69.2152,0.9201103,0.9201103,0.04404505
523,105906.000,A,0,58.38335,8.676235,15.0,2.98,1.47,6,351.6,1,0.0411377,0.8852539,-0.3212891,-172.7036,-70.12402,0.9426523,0.9426523,0.007514
526,105922.000,A,0,58.38353,8.6764,16.9,3.88,1.03,8,351.6,1,0.02282715,0.9696045,-0.1027832,-167.4784,-83.80264,0.9753042,0.9753042,0.01088395
529,105923.000,A,0,58.38356,8.676428,17.2,4.05,1.03,8,12.7,1,0.1577148,1.018066,-0.1274414,-128.9399,-78.73576,1.038063,1.038063,0.02091954
532,105923.000,A,0,58.38356,8.676428,17.2,4.2596,1.03,8,6.15,1,0.0645752,0.835083,-0.03967285,-121.5652,-83.61707,0.8385151,0.8385151,-0.06651592
535,105924.000,A,0,58.38357,8.676436,17.2,4.27,1.03,8,6.15,1,0.1008301,0.9156494,-0.03991699,-109.0312,-82.38524,0.9220488,0.9220488,0.02784457
538,105925.000,A,0,58.38359,8.676443,17.5,4.41,1.25,7,5.34,1,0.01306152,0.918335,-0.08203125,-170.9529,-84.83158,0.922084,0.922084,1.174212e-05
541,105926.000,A,0,58.38363,8.676455,17.0,4.58,1.25,7,5.34,1,0.08117676,0.8377686,-0.0670166,-139.4749,-82.66614,0.844356,0.844356,-0.02590934
544,105926.000,A,0,58.38363,8.676455,17.0,4.77816,1.25,7,9.28,1,0.0682373,0.786377,-0.04284668,-119.6747,-83.71951,0.7904941,0.7904941,-0.01795395
548,105943.000,A,0,58.38375,8.676784,21.7,4.11,1.29,6,9.28,1,0.1080322,0.9001465,-0.2253418,-147.3684,-74.23221,0.9341914,0.9341914,0.04789911
551,105943.000,A,0,58.38375,8.676784,21.7,3.85,1.29,6,47.59,1,0.03796387,0.9592285,-0.1694336,-167.3707,-79.14914,0.9748171,0.9748171,0.0135419
553,105943.000,A,0,58.38375,8.676784,21.7,3.85,1.29,6,47.59,1,0.06103516,0.6689453,-0.04907227,-133.9507,-83.96644,0.6735141,0.6735141,-0.1004343
556,105945.000,A,0,58.38376,8.676812,21.8,3.73,1.29,6,47.59,1,-0.03320313,0.6113281,-0.1188965,164.397,-78.58377,0.6236673,0.6236673,-0.01661559
559,105946.000,A,0,58.38377,8.67683,21.6,3.69,1.08,7,29.26,1,-0.00769043,0.6166992,-0.1140137,175.192,-80.51119,0.6271971,0.6271971,0.001176596
562,105947.000,A,0,58.38379,8.67683,21.3,3.77808,1.08,7,23.02,1,-0.2124023,0.8096924,-0.1713867,132.4926,-72.37382,0.854453,0.854453,0.07575196
565,105947.000,A,0,58.38379,8.67683,21.3,3.77808,1.08,7,23.02,1,-0.4677734,0.9908447,-0.06262207,97.625,-64.5312,1.0975,1.0975,0.08101574
568,105948.000,A,0,58.3838,8.676832,21.1,4.29664,1.08,7,20.84,1,-0.2932129,0.925293,-0.0847168,106.1154,-71.74496,0.9743294,0.9743294,-0.04105693
571,110004.000,A,0,58.38392,8.676953,19.4,4.29664,1.33,6,20.84,1,-0.590332,1.530762,0.130127,77.56908,-68.45073,1.6458,1.6458,0.2238234
